
name,price,pulish,commit
编程实践(美)Jennifer Campbell    Paul Gries,282.00,烟波古韵图书专营店,0
测试驱动开发-影印版,66.80,闻知图书专营店,0
官方正版包邮 ,44.50,电子工业出版社官方旗舰店,7
和孩子一起玩编程+编程真好玩 套装 趣学,149.50,凤凰新华书店旗舰店,6
机器学习算法,50.40,文轩网旗舰店,20+
"核心编程(第3版,英文版)",62.40,文轩网旗舰店,10+
正版名利用,71.40,温文尔雅图书专营店,0
 3 数据分析与机器学习实战,53.50,,2900+
利用,77.40,文轩网旗舰店,10+
编程导论 第2版,54.40,人民邮电出版社65周年社庆,800+
流畅的,101.50,文轩网旗舰店,200+
机器学习,75.10,机械工业出版社,3900+
基础教程 第3版,68.00,凤凰新华书店旗舰店,200+
包邮 ,68.50,布克专营店,6
零压力学,56.90,文轩网旗舰店,0
零基础学,65.20,机械工业出版社,900+
【虎彩 按需出版】,67.50,北京虎彩图书专营店,10+
数据科学手册(影印版),85.30,文轩网少儿专营店,0
带我起飞,65.60,文轩网少儿专营店,0
贝叶斯分析 奥斯瓦尔多·马丁 9787115476173 人民邮电出版社,44.20,闻知图书专营店,0
树莓派,44.20,闻知图书专营店,0
性能分析与优化 费尔南多·多格里奥 9787115424228 人民邮电出版社,35.10,闻知图书专营店,0
3.5从零开始学 刘宇宙 9787302475965 清华大学出版社,47.20,闻知图书专营店,0
科学计算(第2版)（附光盘）,105.00,清华大学出版社,3200+
自动化平台测试开发：,55.70,电子工业出版社,7900+
跟老齐学,55.70,电子工业出版社,4400+
应用开发实战,64.50,,200+
核心编程（第2版）,72.70,人民邮电出版社65周年社庆,8600+
父与子的编程之旅：与小卡特一起学,54.40,人民邮电出版社65周年社庆,2.2万+
2本 ,129.80,华心图书专营店,100+
编程之美：最佳实践指南,71.80,电子工业出版社,1.1万+
码农翻身：用故事给技术加点料,55.70,电子工业出版社,3.2万+
包邮 从零开始学,41.30,互动创新图书专营店,6
深度学习,85.70,文轩网旗舰店,0
数据处理,71.30,文轩网旗舰店,30+
数据结构 ,54.40,,14万+
正版 Head First ,103.40,恒久图书专营店,0
物理学高效计算,63.40,闻知图书专营店,0
